marca,modelo,modelo_anyo,precio_contado,precio_financiado,precio_nuevo,fecha_matriculacion,combustible,kilometraje,carroceria,garantia,color,distintivo_medioambiental,largo,ancho,alto,batalla,volumen_maletero,mma,numero_puertas,numero_plazas,cilindrada,numero_cilindros,sobrealimentacion,traccion,tipo_cambio,numero_marchas,potencia_kw,potencia_cv,par_nm,velocidad_maxima,aceleracion,consumo_urbano,consumo_carretera,consumo_medio,co2,capacidad_deposito,pais,provincia,vendedor
DS,DS 7 Crossback,2020,27490,26390,45398,07/2020,diesel,67000,todo terreno,12 ,platino,,4571,1895,1611,2738,555/1752,2135,5,5,1997,4,turbo,delantera,automatica secuencial,8,130,177,400,215,9.4,6.1,4.2,4.9,119.0,55.0,spain,madrid,vendedor profesional
SEAT,Ibiza,2022,16500,15400,20720,05/2022,gasolina,22000,berlina,24 ,blanco,,4059,1780,1444,2564,355/0,1690,5,5,999,3,turbo,delantera,manual,6,81,110,200,195,10.3,0.0,0.0,0.0,,40.0,spain,barcelona,vendedor profesional
VOLKSWAGEN,Golf,2018,13990,13490,28220,11/2018,diesel,114018,monovolumen,12 ,gris,,4338,1807,1578,2685,500/1520,1936,5,5,1598,4,turbo de geometria variable,delantera,automatica secuencial,7,81,110,250,192,11.3,4.4,3.8,4.0,104.0,50.0,spain,madrid,vendedor profesional
RENAULT,Talisman,2018,16900,15900,32130,10/2018,diesel,54000,stationwagon,12 ,gris / metalizado,,4849,1868,1456,2809,572/1681,2079,5,5,1598,4,turbo de geometria variable,delantera,manual,6,96,130,320,200,10.8,4.6,3.7,4.0,106.0,52.0,spain,valencia,vendedor profesional
FORD,Focus,2022,21900,17900,28111,07/2022,gasolina,23000,berlina,36 ,azul chrome / metalizado,,4378,1825,1452,2700,375/1354,1900,5,5,999,3,turbo,delantera,manual,6,114,155,235,,9.4,4.9,3.7,4.1,93.0,52.0,spain,la rioja,vendedor profesional
PEUGEOT,308,2023,22950,,34600,06/2023,diesel,14842,berlina,12 ,rojo,,4367,1852,1441,2675,412/0,1870,5,5,1499,4,turbo de geometria variable,delantera,automatica,8,96,130,300,207,10.6,0.0,0.0,0.0,,53.0,spain,madrid,vendedor profesional
BMW,X1,2021,32300,29800,39867,07/2021,gasolina,35000,todo terreno,12 ,gris,,4447,1821,1598,2670,505/1550,2025,5,5,1499,3,turbo,delantera,automatica,7,100,136,220,203,9.7,6.8,4.8,5.6,127.0,51.0,spain,malaga,vendedor profesional
KIA,XCeed,2021,18400,,27575,07/2021,gasolina,39800,todo terreno,24 ,granate,,4395,1826,1495,2650,426/1378,1820,5,5,998,3,turbo,delantera,manual,6,88,120,172,186,11.5,6.7,4.8,5.5,129.0,50.0,spain,sevilla,vendedor profesional
MERCEDES-BENZ,Clase GLA,2019,24985,22735,37825,03/2019,diesel,99947,todo terreno,12 ,rojo,,4424,1804,1494,2699,421/1235,2035,5,5,2143,4,turbo de geometria variable,delantera,automatica secuencial,7,100,136,300,205,9.1,6.5,5.0,5.5,147.0,50.0,spain,valencia,vendedor profesional
PORSCHE,Panamera,2017,63990,62990,132623,10/2017,diesel,155350,berlina,12 ,blanco,,5049,1937,1423,2950,495/1304,2635,5,4,3956,8,doble turbo,total permanente,automatica secuencial,8,310,422,850,285,4.5,7.9,5.8,6.7,176.0,75.0,spain,valencia,vendedor profesional
NISSAN,Micra,2022,15900,13900,,07/2022,gasolina,19760,berlina mediana o grande,24 ,ivory s?lido,,,,,,,,,,,,,,,,,,,,,,,,,,spain,vizcaya,vendedor profesional
MINI,Mini,2018,15895,14395,25000,06/2018,diesel,95496,berlina,24 ,azul / metalizado,,3821,1727,1414,2495,211/731,1615,3,4,1496,3,turbo,delantera,manual,6,85,116,270,205,9.2,4.3,3.1,3.5,102.0,44.0,spain,madrid,vendedor profesional
VOLVO,XC60,2019,36900,36900,,01/2019,electrico,93593,"4x4, suv o pickup",12 ,luminous sand,,,,,,,,,,,,,,,,,,,,,,,,,,spain,barcelona,vendedor profesional
SEAT,Alhambra,2018,20500,19500,37630,08/2018,diesel,164262,monovolumen,12 ,blanco,,4854,1904,1720,2919,885/2430,2390,5,5,1968,4,turbo,delantera,manual,6,110,150,340,200,10.3,6.1,4.6,5.2,135.0,73.0,spain,castellon,vendedor profesional
OPEL,Corsa,2018,9540,8740,16400,05/2018,gasolina,84646,berlina,12 ,blanco,,4021,1746,1481,2510,285/1120,1615,5,5,1398,4,,delantera,manual,5,66,90,130,175,13.2,6.5,4.3,5.1,130.0,45.0,spain,granada,vendedor profesional
PORSCHE,Cayenne,2005,12900,,,04/2005,gasolina,160000,"4x4, suv o pickup",si,negro,,,,,,,,,,,,,,,,,340,,,,,,,,,spain,barcelona,vendedor profesional
KIA,Picanto,2019,12600,11600,11975,07/2019,gasolina,46645,berlina,24 ,clear white,,3595,1595,1485,2400,255/1010,1400,5,4,998,3,,delantera,manual,5,49,67,98,161,14.3,5.8,4.5,5.0,101.0,35.0,spain,barcelona,vendedor profesional
MERCEDES-BENZ,Clase CLS,2018,45900,44900,78800,05/2018,diesel,117000,coupe,12 ,gris,,4988,1890,1435,2939,520/0,2545,4,5,2925,6,turbo,total permanente,automatica secuencial,9,210,286,600,250,5.7,7.4,3.9,5.7,152.0,66.0,spain,madrid,vendedor profesional
KIA,XCeed,2023,32500,25500,,03/2023,hibrido,0,berlina mediana o grande,si,negro,,,,,,,,,,,,,,,,,,,,,,,,,,spain,cordoba,vendedor profesional
