marca,modelo,modelo_anyo,precio_contado,precio_financiado,precio_nuevo,fecha_matriculacion,combustible,kilometraje,carroceria,garantia,color,distintivo_medioambiental,largo,ancho,alto,batalla,volumen_maletero,mma,numero_puertas,numero_plazas,cilindrada,numero_cilindros,sobrealimentacion,traccion,tipo_cambio,numero_marchas,potencia_kw,potencia_cv,par_nm,velocidad_maxima,aceleracion,consumo_urbano,consumo_carretera,consumo_medio,co2,capacidad_deposito,pais,provincia,vendedor
PEUGEOT,308,2022,19900,18900,25780,06/2022,gasolina,17617,berlina,24 ,gris,,4367,1852,1441,2675,412/0,1770,5,5,1199,3,,delantera,manual,6,81,110,205,198,10.5,0.0,0.0,0.0,,53.0,spain,castellon,vendedor profesional
TESLA,Model X,2019,49900,,,01/2019,electrico,109000,"4x4, suv o pickup",0,azul,,,,,,,,,,,,,,,,386,525,,,,,,,,,spain,alicante,vendedor profesional
OPEL,Corsa,2022,13990,11990,22650,05/2022,gasolina,49128,berlina,12 ,gris,,4060,1765,1435,2538,309/1015,1620,5,5,1199,3,,delantera,manual,6,74,100,205,188,9.9,0.0,0.0,0.0,,44.0,spain,valencia,vendedor profesional
HYUNDAI,i30,2013,7500,,17490,05/2013,gasolina,152000,berlina,0,azul,,4300,1780,1470,2650,378/1316,1820,5,5,1396,4,,delantera,manual,6,74,100,137,182,12.8,7.9,4.9,6.0,139.0,53.0,spain,sevilla,vendedor profesional
PEUGEOT,2008,2021,19900,17900,,09/2021,gasolina,11905,"4x4, suv o pickup",12 ,gris artense,,,,,,,,,,,,,,,,,,,,,,,,,,spain,barcelona,vendedor profesional
TOYOTA,RAV-4,2019,29990,,40700,03/2019,gasolina y corriente electrica,78000,todo terreno,12 ,gris / metalizado,,4600,1855,1685,2690,580/0,2205,5,5,2487,4,,delantera,automatica continua,1,160,218,221,180,8.4,4.7,4.7,4.6,105.0,55.0,spain,madrid,vendedor profesional
BMW,Serie 7,2005,9800,9800,74700,07/2005,diesel,293000,berlina,12 ,negro,,5039,1902,1491,2990,500/0,2480,4,5,2993,6,,trasera,automatica secuencial,6,170,231,520,238,7.8,11.3,6.4,8.2,210.0,88.0,spain,valencia,vendedor profesional
JAGUAR,XF,2009,11500,,58870,09/2009,diesel,155000,berlina,,negro / metalizado,,4961,1877,1460,2909,500/540,2310,4,5,2720,6,turbo,trasera,automatica secuencial,6,152,207,435,229,8.2,10.4,5.8,7.5,199.0,69.5,spain,,
VOLKSWAGEN,Polo,2024,34647,33647,38229,03/2024,gasolina,1,berlina,36 ,negro profundo. / metalizado,,4074,1751,1431,2548,305/1079,1640,5,5,1984,4,turbo,delantera,manual automatizada,7,152,207,320,240,6.5,0.0,0.0,0.0,,40.0,spain,valencia,vendedor profesional
PEUGEOT,5008 SUV,2024,34449,33919,42990,01/2024,gasolina,2,todo terreno,36 ,blanco / metalizado,,4641,1844,1651,2840,780/0,2160,5,7,1199,3,turbo,delantera,automatica secuencial,8,96,130,230,188,11.8,6.1,4.7,5.2,120.0,56.0,spain,madrid,vendedor profesional
VOLVO,S80,2009,11900,,58099,10/2009,gasolina,140123,berlina,12 ,azul,,4851,1861,1493,2835,422/480,2290,4,5,2953,6,turbo,total permanente,automatica secuencial,6,210,285,400,250,6.9,17.1,7.9,11.3,264.0,70.0,spain,alicante,vendedor profesional
AUDI,A7,2015,21990,,73343,06/2015,diesel,288000,coupe,12 ,negro / metalizado,,4969,1911,1420,2914,535/0,2100,5,4,2967,6,turbo,total permanente,automatica secuencial,7,180,245,500,250,6.3,7.2,5.2,5.9,156.0,65.0,spain,madrid,vendedor profesional
FORD,Kuga,2020,22995,20525,37019,08/2020,diesel,77769,todo terreno,12 ,azul / metalizado,,4614,1883,1678,2710,456/1653,2110,5,5,1498,4,turbo,delantera,automatica secuencial,8,88,120,300,177,12.0,5.0,4.1,4.4,117.0,60.0,spain,alicante,vendedor profesional
CITROEN,C4,2010,4500,,22100,06/2010,diesel,274346,berlina,12 ,plata,,4329,1789,1489,2608,380/408,1790,5,5,1560,4,turbo de geometria variable,delantera,manual,5,68,92,230,180,12.9,5.3,3.8,4.3,113.0,60.0,spain,la coruna,vendedor profesional
VOLVO,XC60,2023,64200,61023,76193,12/2023,hibrido enchufable,2,todo terreno,12 ,72300 denim blue / metalizado,,4708,1902,1653,2865,483/0,2660,5,5,1969,4,turbo de geometria variable,todo terreno traccion total permanente,automatica secuencial,8,258,350,660,230,5.3,0.0,0.0,0.0,,71.0,spain,vizcaya,vendedor profesional
FORD,Kuga,2021,25900,21900,38251,04/2021,gasolina,36000,todo terreno,0,-,,4614,1883,1678,2710,456/1653,2075,5,5,1498,3,turbo,delantera,manual,6,110,150,240,195,9.7,6.5,4.9,5.5,129.0,60.0,spain,vizcaya,vendedor profesional
OPEL,Insignia,2012,19999,18999,45900,05/2012,gasolina,125000,stationwagon,0,rojo,,4908,1856,1520,2737,540/1530,2490,5,5,2792,6,turbo,total permanente,manual,6,239,325,435,250,6.3,16.0,7.9,10.9,255.0,70.0,spain,madrid,vendedor profesional
FORD,EcoSport,2021,16995,15495,19935,01/2021,gasolina,40129,todo terreno,12 ,gris / metalizado,,4096,1765,1650,2519,355/1238,1730,5,5,999,3,turbo,delantera,manual,6,92,125,170,180,11.0,6.4,5.0,5.5,120.0,52.0,spain,las palmas,vendedor profesional
PEUGEOT,3008 SUV,2020,21990,20990,33150,05/2020,gasolina,80678,todo terreno,12 ,azul / metalizado,,4447,1841,1620,2675,520/1482,1910,5,5,1199,3,,delantera,manual,6,96,130,230,188,10.8,6.1,4.8,5.3,114.0,53.0,spain,madrid,vendedor profesional
PEUGEOT,5008 SUV,2024,35990,34590,42990,03/2024,gasolina,2,todo terreno,36 ,gris platinum,,4641,1844,1651,2840,780/0,2160,5,7,1199,3,turbo,delantera,automatica secuencial,8,96,130,230,188,11.8,6.1,4.7,5.2,120.0,56.0,spain,alava,vendedor profesional
MINI,Mini,2018,14995,14995,,09/2018,gasolina,106274,familiar,12 ,beige,,,,,,,,,,,,,,,,,,,,,,,,,,spain,las palmas,vendedor profesional
OPEL,Insignia,2020,17800,15800,30500,07/2020,diesel,52000,berlina,12 ,blanco,,4897,1941,1455,2829,490/1450,2000,5,5,1598,4,turbo,delantera,manual,6,81,110,300,205,11.6,4.6,3.6,4.0,109.0,62.0,spain,alava,vendedor profesional
VOLKSWAGEN,T-Roc,2022,31900,31900,38435,04/2022,gasolina,22300,todo terreno,24 ,plata pirita metalizado negro,,4234,1819,1573,2590,445/1290,1850,5,5,1498,4,turbo,delantera,manual,6,110,150,250,205,8.4,0.0,0.0,0.0,,50.0,spain,murcia,vendedor profesional
KIA,XCeed,2022,20900,19400,27100,10/2022,gasolina,47500,todo terreno,24 ,blanco,,4395,1826,1483,2650,426/1378,1820,5,5,998,3,turbo,delantera,manual,6,88,120,172,186,11.5,0.0,0.0,0.0,,50.0,spain,cordoba,vendedor profesional
FORD,Focus,2022,17900,16900,32590,01/2022,gasolina,68034,berlina,12 ,rojo,,4382,1825,1459,2700,392/1354,1900,5,5,999,3,turbo,delantera,manual,6,92,125,200,200,10.2,0.0,0.0,0.0,,52.0,spain,la coruna,vendedor profesional
MERCEDES-BENZ,EQB,2022,50200,48200,61063,09/2022,corriente electrica,9152,todo terreno,24 ,negro,,4684,1834,1667,2829,495/1710,2580,5,5,0,0,,todo terreno traccion total permanente,"directo, sin caja de cambios",1,168,228,390,160,8.0,0.0,0.0,0.0,,0.0,spain,barcelona,vendedor profesional
PORSCHE,Cayenne,2011,20900,19900,70862,12/2011,diesel,281000,todo terreno,12 ,gris,,4846,1939,1705,2895,670/1780,2840,5,5,2967,6,turbo de geometria variable,todo terreno traccion total permanente,automatica secuencial,8,180,245,550,220,7.6,8.5,6.5,7.2,189.0,85.0,spain,madrid,vendedor profesional
FORD,Kuga,2022,27900,26900,35062,07/2022,diesel,13351,todo terreno,12 ,blanco,,4614,1883,1678,2710,456/1653,2085,5,5,1498,4,turbo,delantera,manual,6,88,120,300,180,11.7,4.7,3.8,4.2,106.0,60.0,spain,madrid,vendedor profesional
BMW,X4,2019,38900,37900,55400,03/2019,diesel,84000,coupe,12 ,azul,,4752,1918,1621,2864,525/1430,2410,5,5,1995,4,turbo de geometria variable,todo terreno traccion total permanente,automatica secuencial,8,140,190,400,213,8.0,5.3,4.9,5.0,132.0,60.0,spain,malaga,vendedor profesional
AUDI,A4,2019,28850,27800,48647,06/2019,diesel,72521,stationwagon,12 ,rojo,,4725,1842,1431,2820,505/1510,2095,5,5,1968,4,turbo de geometria variable,delantera,automatica secuencial,7,110,150,320,213,9.0,5.0,3.8,4.6,121.0,40.0,spain,la coruna,vendedor profesional
RENAULT,Kadjar,2019,17900,16900,33738,10/2019,diesel,85000,todo terreno,12 ,gris plata,,4489,1836,1607,2646,472/1478,2035,5,5,1749,4,turbo de geometria variable,delantera,manual,6,110,150,340,198,10.0,5.6,4.2,4.7,124.0,55.0,spain,valencia,vendedor profesional
OPEL,Insignia,2010,7799,,28280,06/2010,diesel,182356,berlina,12 ,blanco olimpico (solido) / metalizado,,4830,1856,1498,2737,500/1015,2020,4,5,1956,4,turbo,delantera,manual,6,96,130,300,205,11.1,7.7,4.7,5.8,133.0,70.0,spain,badajoz,vendedor profesional
PORSCHE,Cayman,2019,60900,60900,60042,08/2019,gasolina,79000,coupe,12 ,negro,,4379,1801,1295,2475,150/275,1685,2,2,1988,4,,trasera,automatica secuencial,7,220,300,380,275,4.9,9.0,5.7,6.9,158.0,64.0,spain,valencia,vendedor profesional
CITROEN,C4 Aircross,2022,19999,18995,27220,08/2022,gasolina,9960,todo terreno,12 ,gris acero (metalizada) / metalizado,,4340,1800,1625,2670,419/0,1925,5,5,1590,4,,delantera,manual,5,86,117,154,184,11.3,7.5,4.9,5.9,135.0,63.0,spain,sevilla,vendedor profesional
SEAT,Leon,2019,17400,16200,,11/2019,gasolina,101487,berlina mediana o grande,12 ,blanco nevada,,,,,,,,,,,,,,,,,,,,,,,,,,spain,murcia,vendedor profesional
ALFA,ROMEO 159,2007,6990,6990,31800,01/2007,gasolina,170000,berlina,12 ,rojo / metalizado,,4660,1828,1417,2700,405/0,2000,4,5,1859,4,,delantera,manual,6,118,160,190,212,9.7,12.2,6.6,8.7,205.0,70.0,spain,valencia,vendedor profesional
HYUNDAI,Kona,2022,35900,34900,42850,03/2022,corriente electrica,10539,todo terreno,60 ,dive blue (solido) / metalizado,,4180,1800,1570,2600,332/1114,2170,5,5,0,0,,delantera,"directo, sin caja de cambios",1,150,204,395,167,7.9,0.0,0.0,0.0,,0.0,spain,badajoz,vendedor profesional
SEAT,Leon,2018,16990,16630,23900,11/2018,gasolina,51990,berlina,12 ,blanco,,4281,1816,1444,2634,380/0,1780,5,5,1498,4,turbo de geometria variable,delantera,manual,6,95,130,200,203,9.4,6.4,4.2,5.0,113.0,50.0,spain,alicante,vendedor profesional
TOYOTA,Corolla,2022,23990,22990,29750,06/2022,gasolina y corriente electrica,20693,berlina,36 ,gris celestite,,4630,1775,1435,2700,529/0,1835,4,5,1798,4,,delantera,automatica continua,1,90,122,142,180,10.9,3.1,3.5,3.4,77.0,43.0,spain,sevilla,vendedor profesional
PEUGEOT,3008 SUV,2024,27999,27493,37870,03/2024,gasolina,2,todo terreno,36 ,blanco nacarado / metalizado,,4447,1841,1620,2675,520/1482,1910,5,5,1199,3,,delantera,manual,6,96,130,230,188,10.6,5.9,4.4,5.0,114.0,53.0,spain,madrid,vendedor profesional
MERCEDES-BENZ,Clase E,2019,34475,30999,,03/2019,diesel,64131,berlina mediana o grande,12 ,negro / metalizado,,,,,,,,,,,,,,,,,,,,,,,,,,spain,alicante,vendedor profesional
VOLKSWAGEN,T-Cross,2022,20900,20900,,12/2022,gasolina,23281,"4x4, suv o pickup",24 ,negro profundo efecto per,,,,,,,,,,,,,,,,,,,,,,,,,,spain,murcia,vendedor profesional
KIA,Sportage,2018,17700,,27500,10/2018,gasolina,78226,todo terreno,24 ,blanco / metalizado,,4485,1855,1635,2670,503/1492,2000,5,5,1591,4,,delantera,manual,6,97,132,161,182,11.5,8.2,6.4,7.1,162.0,0.0,spain,vizcaya,vendedor profesional
PEUGEOT,308,2016,14099,14099,32450,11/2016,diesel,119530,berlina,12 ,gris,,4253,1804,1447,2620,420/470,1920,5,5,1997,4,turbo de geometria variable,delantera,automatica secuencial,6,133,180,400,220,8.4,4.7,3.5,4.0,105.0,53.0,spain,madrid,vendedor profesional
FIAT,500,2019,10900,9900,15950,10/2019,gasolina,70000,berlina,12 ,blanco,,3571,1627,1488,2300,185/0,1305,3,4,1242,4,,delantera,manual,5,51,69,102,160,12.9,5.9,4.4,4.9,108.0,35.0,spain,ciudad real,vendedor profesional
VOLKSWAGEN,Polo,2023,17900,16900,24668,04/2023,gasolina,16115,berlina,36 ,negro,,4074,1751,1451,2548,351/1125,1640,5,5,999,3,turbo,delantera,manual,5,70,95,175,187,10.8,0.0,0.0,0.0,,40.0,spain,salamanca,vendedor profesional
AUDI,Q7,2014,22900,,59687,06/2014,diesel,125000,todo terreno,12 ,negro,,5089,1983,1737,3002,775/2035,2995,5,5,2967,6,turbo de geometria variable,todo terreno traccion total permanente,automatica secuencial,8,150,204,450,202,9.1,8.2,6.5,7.2,189.0,100.0,spain,madrid,vendedor profesional
RENAULT,Clio,2023,18517,18517,19990,05/2023,gasolina,9317,berlina,60 ,-,,4053,1798,1440,2583,391/1069,1609,5,5,999,3,turbo,delantera,manual,6,67,90,160,180,12.2,0.0,0.0,0.0,,42.0,spain,alicante,vendedor profesional
CHEVROLET,Aveo,2010,3999,3999,11890,05/2010,gasolina,160000,berlina,12 ,gris,,4310,1710,1505,2480,400/0,1540,4,5,1399,4,,delantera,manual,5,69,94,130,176,11.1,8.9,5.4,6.7,160.0,45.0,spain,zaragoza,vendedor profesional
FIAT,500,2019,10900,9900,15950,10/2019,gasolina,70000,berlina,12 ,blanco,,3571,1627,1488,2300,185/0,1305,3,4,1242,4,,delantera,manual,5,51,69,102,160,12.9,5.9,4.4,4.9,108.0,35.0,spain,ciudad real,vendedor profesional
RENAULT,Clio,2019,11990,11990,,09/2019,gasolina,85842,pequeno,0,-,,,,,,,,,,,,,,,,,,,,,,,,,,spain,sevilla,vendedor profesional
CITROEN,C3,2021,12500,12500,18100,05/2021,diesel,68000,berlina,si,-,,3996,1749,1474,2539,300/0,1640,5,5,1499,4,turbo de geometria variable,delantera,manual,5,73,99,250,185,10.6,4.2,3.3,3.7,85.0,42.0,spain,cadiz,vendedor profesional
FIAT,500,2022,14750,14250,,06/2022,hibrido,25000,descapotable o convertible,12 ,-,,,,,,,,,,,,,,,,,,,,,,,,,,spain,avila,vendedor profesional
HYUNDAI,Ioniq,2020,17700,,30975,01/2020,gasolina y corriente electrica,113115,berlina,12 ,gris plata / metalizado,,4470,1820,1450,2700,563/1518,1870,5,5,1580,4,,delantera,automatica secuencial,6,104,141,265,185,11.1,3.9,3.9,3.9,92.0,45.0,spain,madrid,vendedor profesional
AUDI,Q5,2023,51750,,62531,03/2023,diesel,24999,todo terreno,24 ,gris,,4682,1893,1662,2819,520/1520,2510,5,5,1968,4,turbo de geometria variable,todo terreno traccion total permanente,automatica secuencial,7,150,204,400,222,7.6,5.5,4.8,5.3,143.0,70.0,spain,madrid,vendedor profesional
FERRARI,Roma,2020,222900,,,10/2020,gasolina,10500,deportivo o coupe,13 ,plata,,,,,,,,,,,,,,,,456,620,,,,,,,,,spain,murcia,vendedor profesional
MASERATI,Levante,2017,44890,42752,86700,03/2017,diesel,97595,todo terreno,12 ,blanco,,5003,1968,1679,3004,580/0,2705,5,5,2987,6,turbo de geometria variable,todo terreno traccion total conectable,automatica secuencial,8,202,275,600,230,6.9,8.2,6.6,7.2,189.0,80.0,spain,malaga,vendedor profesional
VOLKSWAGEN,Golf,2015,13990,13800,28365,11/2015,diesel,136000,berlina,12 ,blanco,,4255,1799,1452,2637,380/1270,1880,5,5,1968,4,turbo de geometria variable,delantera,automatica secuencial,6,110,150,320,212,8.6,5.2,4.0,4.4,117.0,50.0,spain,barcelona,vendedor profesional
VOLKSWAGEN,Tiguan,2018,23499,22394,40102,12/2018,diesel,121518,todo terreno,12 ,gris,,4486,1839,1632,2677,615/1655,2210,5,5,1968,4,turbo de geometria variable,delantera,manual,6,110,150,340,204,9.3,5.9,3.1,4.5,119.0,58.0,spain,madrid,vendedor profesional
BMW,Serie 4,2019,31995,28575,47288,06/2019,diesel,35795,coupe,12 ,azul,,4640,1825,1389,2810,480/1300,2140,5,5,1995,4,turbo de geometria variable,trasera,automatica secuencial,8,140,190,400,226,7.4,5.2,4.2,4.6,120.0,57.0,spain,alicante,vendedor profesional
PEUGEOT,2008,2023,22900,21900,28640,09/2023,gasolina,5,todo terreno,24 ,gris,,4304,1815,1523,2605,434/1467,1710,5,5,1199,3,,delantera,manual,6,75,100,205,183,10.8,0.0,0.0,0.0,,44.0,spain,pontevedra,vendedor profesional
KIA,Picanto,2023,13500,12650,11975,03/2023,gasolina,18900,berlina,84 ,gris,,3595,1595,1485,2400,255/1010,1400,5,4,998,3,,delantera,manual,5,49,67,98,161,14.3,5.8,4.5,5.0,101.0,35.0,spain,la coruna,vendedor profesional
SEAT,Ibiza,2021,15445,14500,20720,04/2021,gasolina,22568,berlina,12 ,blanco,,4059,1780,1444,2564,355/0,1690,5,5,999,3,turbo,delantera,manual,6,81,110,200,195,10.3,0.0,0.0,0.0,,40.0,spain,ciudad real,vendedor profesional
VOLKSWAGEN,Passat,2018,21750,19425,39701,04/2018,diesel,65980,stationwagon,12 ,gris,,4767,1832,1477,2791,650/1780,2040,5,5,1968,4,turbo de geometria variable,delantera,automatica secuencial,7,110,150,340,216,8.9,5.1,3.8,4.3,113.0,59.0,spain,granada,vendedor profesional
BMW,Serie 4,2022,106900,105400,131100,01/2022,gasolina,11117,coupe,24 ,azul / metalizado,,4794,1887,1394,2857,440/0,2205,2,4,2993,6,turbo,total permanente,automatica secuencial,8,375,510,650,250,3.5,0.0,0.0,0.0,,59.0,spain,asturias,vendedor profesional
AUDI,A3,2018,16990,15390,,12/2018,diesel,96227,berlina mediana o grande,12 ,blanco,,,,,,,,,,,,,,,,,,,,,,,,,,spain,las palmas,vendedor profesional
AUDI,A3,2022,54900,54900,,11/2022,electrico,5273,"4x4, suv o pickup",24 ,gris cronos metalizado / metalizado,,,,,,,,,,,,,,,,,,,,,,,,,,spain,tarragona,vendedor profesional
AUDI,A3,2018,29900,29400,49203,06/2018,gasolina,105800,convertible,12 ,blanco,,4423,1793,1409,2595,320/0,2055,2,4,1984,4,turbo de geometria variable,total permanente,automatica secuencial,7,140,190,320,242,9.9,7.7,5.3,6.2,141.0,50.0,spain,madrid,vendedor profesional
DODGE,Journey,2008,10500,8500,28736,06/2008,diesel,100000,monovolumen,12 ,negro,,4888,1878,1691,2890,167/1461,2480,5,7,1968,4,turbo de geometria variable,delantera,manual,6,103,140,310,190,11.6,8.4,5.4,6.5,171.0,86.0,spain,barcelona,vendedor profesional
KIA,Picanto,2023,13500,12650,11975,03/2023,gasolina,18900,berlina,84 ,gris,,3595,1595,1485,2400,255/1010,1400,5,4,998,3,,delantera,manual,5,49,67,98,161,14.3,5.8,4.5,5.0,101.0,35.0,spain,la coruna,vendedor profesional
BMW,Serie 1,2015,11999,,23300,02/2015,diesel,198000,berlina,12 ,blanco,,4324,1765,1421,2690,360/1200,1835,3,5,1995,4,turbo de geometria variable,trasera,manual,6,85,116,260,200,10.3,5.3,3.8,4.3,109.0,52.0,spain,madrid,vendedor profesional
VOLKSWAGEN,Tiguan,2018,23499,22394,40102,12/2018,diesel,121518,todo terreno,12 ,gris,,4486,1839,1632,2677,615/1655,2210,5,5,1968,4,turbo de geometria variable,delantera,manual,6,110,150,340,204,9.3,5.9,3.1,4.5,119.0,58.0,spain,madrid,vendedor profesional
SEAT,Ibiza,2008,5990,5990,15170,07/2008,gasolina,162000,berlina,12 ,rojo,,4052,1693,1445,2469,292/0,1526,5,5,1390,4,,delantera,manual,5,63,85,132,177,11.8,8.0,4.7,5.9,139.0,45.0,spain,barcelona,vendedor profesional
BMW,Serie 4,2019,31995,28575,47288,06/2019,diesel,35795,coupe,12 ,azul,,4640,1825,1389,2810,480/1300,2140,5,5,1995,4,turbo de geometria variable,trasera,automatica secuencial,8,140,190,400,226,7.4,5.2,4.2,4.6,120.0,57.0,spain,alicante,vendedor profesional
LAND-ROVER,Discovery,2018,41990,40490,76900,11/2018,diesel,99000,todo terreno,si,negro,,4970,2073,1852,2923,258/1237,3050,5,5,2993,6,turbo de geometria variable,todo terreno traccion total permanente,automatica secuencial,8,190,258,600,194,9.4,8.3,6.5,7.2,189.0,89.0,spain,vizcaya,vendedor profesional
MERCEDES-BENZ,Clase E,2010,17500,15900,67083,01/2010,diesel,55000,stationwagon,12 ,gris,,4895,1854,1512,2874,695/1220,2500,5,5,2987,6,turbo de geometria variable,trasera,automatica secuencial,7,155,211,540,232,8.0,9.8,5.7,7.2,189.0,80.0,spain,madrid,vendedor profesional
AUDI,Q7,2018,43900,39900,,11/2018,diesel y corriente electrica,108740,"4x4, suv o pickup",12 ,azul,,,,,,,,,,,,,,,,,,,,,,,,,,spain,madrid,vendedor profesional
MERCEDES-BENZ,Clase B,2021,31300,29300,37595,04/2021,diesel,50000,monovolumen,12 ,blanco,,4419,1796,1562,2699,455/1530,2075,5,5,1950,4,turbo de geometria variable,delantera,automatica secuencial,8,85,116,280,200,9.8,0.0,0.0,0.0,,43.0,spain,valencia,vendedor profesional
BMW,Serie 1,2019,22500,21300,30917,01/2019,gasolina,24850,berlina,24 ,alpinweiss,,4329,1765,1421,2690,360/1200,1900,5,5,1499,3,turbo,trasera,automatica secuencial,8,100,136,220,210,8.7,6.8,4.9,5.6,128.0,52.0,spain,badajoz,vendedor profesional
AUDI,A3,2022,28700,27700,35189,03/2022,gasolina,15000,berlina,12 ,-,,4495,1816,1425,2636,425/0,1840,4,5,999,3,turbo de geometria variable,delantera,automatica secuencial,7,81,110,200,210,10.6,0.0,0.0,0.0,,45.0,spain,navarra,vendedor profesional
FIAT,Tipo,2020,13275,11850,21550,10/2020,diesel,23408,stationwagon,12 ,blanco,,4571,1792,1514,2638,550/0,1875,5,5,1248,4,turbo,delantera,manual,5,70,95,200,180,12.9,5.3,3.5,4.2,103.0,50.0,spain,alicante,vendedor profesional
TOYOTA,Yaris,2011,5500,,15400,12/2011,gasolina,175549,berlina,,rojo,,3885,1695,1510,2510,286/0,1430,5,5,998,3,,delantera,manual,5,51,69,93,155,15.3,5.8,4.3,4.8,111.0,42.0,spain,,
PEUGEOT,2008,2020,20200,18990,24470,12/2020,gasolina,39570,todo terreno,12 ,blanco banquise (opaco) / metalizado,,4300,1770,1530,2605,405/1467,1710,5,5,1199,3,turbo,delantera,manual,6,74,100,205,188,10.9,5.5,4.0,4.6,105.0,44.0,spain,murcia,vendedor profesional
MINI,Mini,2005,4999,4999,15475,12/2005,gasolina,199999,berlina,si,amarillo,,3635,1688,1416,2467,150/670,1495,3,4,1598,4,,delantera,manual,5,66,90,140,181,10.9,9.6,5.2,6.8,164.0,50.0,spain,zaragoza,vendedor profesional
BMW,Serie 2,2020,19400,,28400,01/2020,diesel,109500,monovolumen,24 ,blanco,,4354,1800,1555,2670,468/1510,1970,5,5,1496,3,turbo de geometria variable,delantera,manual,6,85,116,270,195,11.1,4.5,3.6,4.0,104.0,51.0,spain,alicante,vendedor profesional
VOLKSWAGEN,Touran,2024,39857,38857,43524,03/2024,diesel,1,monovolumen,36 ,negro profundo. / metalizado,,4527,1829,1659,2791,137/1857,2210,5,7,1968,4,turbo,delantera,manual,6,90,122,340,208,9.3,0.0,0.0,0.0,,58.0,spain,valencia,vendedor profesional
AUDI,A5,2010,9990,,38950,06/2010,diesel,290000,berlina,12 ,blanco,,4711,1854,1391,2809,480/0,2060,5,4,1968,4,turbo de geometria variable,delantera,manual,6,125,170,350,228,8.7,6.5,4.5,5.2,137.0,65.0,spain,madrid,vendedor profesional
OPEL,Insignia,2020,24900,22900,41500,10/2020,diesel,39000,berlina,12 ,gris,,4906,1941,1455,2829,490/1450,2110,5,5,1496,3,turbo de geometria variable,delantera,automatica secuencial,8,90,122,285,205,11.5,5.1,3.9,4.3,106.0,61.5,spain,cordoba,vendedor profesional
LEXUS,ES,2020,32990,,50900,01/2020,gasolina y corriente electrica,84000,berlina,12 ,gris / metalizado,,4975,1865,1445,2870,454/0,2130,4,5,2487,4,,delantera,automatica continua,1,160,218,0,180,8.9,5.1,4.5,4.7,103.0,50.0,spain,madrid,vendedor profesional
BMW,Serie 4,2015,34990,34990,69879,03/2015,diesel,130000,convertible,12 ,gris,,4638,1825,1399,2810,220/370,2290,2,4,2993,6,turbo de geometria variable,total permanente,automatica secuencial,8,230,313,630,250,5.2,6.8,5.2,5.7,151.0,57.0,spain,madrid,vendedor profesional
DACIA,Dokker,2018,14300,14300,11077,07/2018,diesel,41375,monovolumen,12 ,blanco,,4363,1751,1814,2810,800/3000,1854,4,5,1461,4,turbo,delantera,manual,5,66,90,200,162,13.9,5.2,4.1,4.5,108.0,50.0,spain,barcelona,vendedor profesional
VOLVO,XC60,2023,46900,43600,62734,05/2023,gasolina,16644,todo terreno,24 ,bright silver / metalizado,,4708,1902,1653,2865,483/0,2400,5,5,1969,4,turbo,delantera,automatica secuencial,8,145,197,258,220,6.8,0.0,0.0,0.0,,71.0,spain,valencia,vendedor profesional
AUDI,Q3,2024,51135,47862,56241,01/2024,hibrido enchufable,1,todo terreno,36 ,negro mito. / metalizado,,4500,1843,1577,2680,380/1250,2320,5,5,1395,4,turbo,delantera,automatica secuencial,6,180,245,400,210,7.3,0.0,0.0,0.0,,45.0,spain,valencia,vendedor profesional
PEUGEOT,408,2024,42272,41252,46500,03/2024,hibrido enchufable,2,berlina,36 ,negro perla nera / metalizado,,4687,1848,1478,2787,471/0,2220,5,5,1598,4,turbo de geometria variable,delantera,automatica secuencial,8,165,225,250,233,7.8,0.0,0.0,0.0,,40.0,spain,madrid,vendedor profesional
FORD,Focus,2021,18900,17600,25586,06/2021,gasolina,31215,berlina,24 ,azul chrome / metalizado,,4378,1825,1452,2700,375/1354,1900,5,5,999,3,turbo,delantera,manual,6,92,125,210,,10.3,5.1,3.7,4.4,94.0,52.0,spain,la coruna,vendedor profesional
PEUGEOT,2008,2023,22900,21900,28640,09/2023,gasolina,5,todo terreno,24 ,gris,,4304,1815,1523,2605,434/1467,1710,5,5,1199,3,,delantera,manual,6,75,100,205,183,10.8,0.0,0.0,0.0,,44.0,spain,pontevedra,vendedor profesional
SEAT,Ibiza,2021,15445,14500,20720,04/2021,gasolina,22568,berlina,12 ,blanco,,4059,1780,1444,2564,355/0,1690,5,5,999,3,turbo,delantera,manual,6,81,110,200,195,10.3,0.0,0.0,0.0,,40.0,spain,ciudad real,vendedor profesional
RENAULT,Megane,2013,9900,,,07/2013,gasolina,114000,deportivo o coupe,12 ,-,,,,,,,,,,,,,,,,,,,,,,,,,,spain,avila,vendedor profesional
SUZUKI,Grand Vitara,2008,3800,,24030,02/2008,diesel,169000,todo terreno,0,blanco,,4005,1810,1695,2440,184/964,1870,3,4,1870,4,turbo de geometria variable,todo terreno traccion total permanente,manual,5,95,129,300,170,12.8,9.0,6.5,7.4,190.0,55.0,spain,girona,vendedor profesional
VOLVO,V50,2006,4950,,34615,10/2006,diesel,240000,stationwagon,12 ,negro,,4514,1770,1452,2640,417/717,2000,5,5,2400,5,turbo,delantera,automatica secuencial,5,132,180,350,225,8.5,9.7,5.5,7.0,184.0,60.0,spain,girona,vendedor profesional
